lastSaleTime,MSFT,AAPL,AMZN,GOOGL,BABA,FB,TSLA,JNJ,WMT,V,PG,JPM,TSM,MA,INTC,VZ,UNH,T,MRK,HD,NVS,KO,PFE,BAC,PEP,DIS,XOM,CSCO,TM,CHL,NFLX,ORCL,CMCSA,NVDA,ADBE,CVX,ABT,LLY,COST,BMY,SAP,NKE,AMGN,CRM,MCD,MDT,AZN,PM,TMO,MSFT_volume,AAPL_volume,AMZN_volume,GOOGL_volume,BABA_volume,FB_volume,TSLA_volume,JNJ_volume,WMT_volume,V_volume,PG_volume,JPM_volume,TSM_volume,MA_volume,INTC_volume,VZ_volume,UNH_volume,T_volume,MRK_volume,HD_volume,NVS_volume,KO_volume,PFE_volume,BAC_volume,PEP_volume,DIS_volume,XOM_volume,CSCO_volume,TM_volume,CHL_volume,NFLX_volume,ORCL_volume,CMCSA_volume,NVDA_volume,ADBE_volume,CVX_volume,ABT_volume,LLY_volume,COST_volume,BMY_volume,SAP_volume,NKE_volume,AMGN_volume,CRM_volume,MCD_volume,MDT_volume,AZN_volume,PM_volume,TMO_volume
1587994202.457575,176.635,281.93,2444.88,1293.01,207.55,192.74,737.28,0.0,129.83,0.0,0.0,91.96,53.13,260.42,0.0,57.895,293.5,29.89,81.315,214.865,89.9,45.935,37.67,22.525,134.45,0.0,43.485,42.8,0.0,40.29,424.55,53.65,37.55,294.76,349.275,0.0,95.54,0.0,313.01,0.0,0.0,0.0,0.0,0.0,185.32,0.0,51.59,74.24,330.625,200,1945,125,152,306,3574,54,0,21,0,0,700,1,1,0,201,100,6,300,200,200,1413,1100,70,100,0,15,503,0,10,281,74,1200,143,100,0,177,0,150,0,0,0,0,0,300,0,70,20,200
1587994262.691841,176.215,281.74,2439.41,1287.87,206.74,191.915,736.76,155.085,129.41,169.19,118.84,91.77,53.145,260.31,59.58,58.1,294.59,29.91,81.445,214.615,89.95,45.94,37.84,22.53,134.395,102.04,43.38,43.05,0.0,40.3,424.39,53.54,37.48,294.44,348.05,86.9,95.3,164.265,312.44,62.63,116.49,88.98,236.82,154.91,185.44,100.14,51.6,74.105,331.52,4751,5554,3013,1015,26647,60343,693,670,1395,1396,1900,900,801,1187,8618,2834,883,2230,3190,1310,761,5583,22481,3621,2974,1300,6947,13463,0,110,1081,874,5440,961,1053,991,1397,300,250,2800,53,2701,285,1703,500,500,470,320,700
1587994322.922517,176.16,281.075,2433.42,1286.385,205.96,192.275,740.9,155.39,130.09,169.23,118.9,91.59,53.15,260.4,59.63,57.99,295.395,29.975,81.26,214.67,89.99,45.975,37.785,22.545,134.38,102.055,43.16,42.955,0.0,40.3,424.08,53.355,37.61,295.6,348.1,86.62,95.84,164.14,312.97,62.665,116.49,88.765,237.515,154.45,185.78,100.055,51.625,74.095,331.96,8253,7589,4006,1315,36753,82253,1541,2072,2396,3784,3205,1393,2402,1287,11682,3534,1746,2939,5590,1971,1441,7907,24869,4834,3074,2192,12446,15316,0,110,1771,1074,6740,1941,1264,1671,2562,694,399,4382,53,4228,385,3330,1400,600,1070,420,1700
1587994383.115698,176.26,280.66,2432.99,1285.1,205.95,193.33,747.53,155.155,130.0,169.67,118.82,91.86,53.065,262.0,59.6,58.085,295.02,29.99,80.95,215.35,89.88,45.96,37.79,22.555,135.07,102.17,43.32,42.975,0.0,40.3,423.37,53.28,37.62,296.535,348.595,86.83,95.84,164.23,312.52,62.7,116.49,88.685,238.085,154.555,185.63,100.0,51.655,74.095,331.71,10499,9892,4406,2051,38953,93536,3090,3472,2838,21484,4405,3212,8828,1481,13805,4534,2446,3042,6690,3779,2621,10956,28112,5445,4179,2992,21402,22573,0,110,3703,1850,7640,3784,2465,3324,3381,794,699,5782,53,13104,685,4030,4783,800,1470,420,2000
1587994443.318637,176.18,280.66,2437.235,1286.44,206.225,192.91,747.12,155.1,129.85,169.6,118.64,92.19,53.145,262.0,59.565,58.08,295.11,29.985,80.94,215.99,89.81,45.95,37.85,22.565,134.83,102.29,43.12,42.86,0.0,40.3,424.37,53.385,37.545,296.51,347.94,86.73,95.68,163.98,312.265,62.7,116.49,88.715,237.41,154.58,184.85,100.095,51.665,74.135,331.83,11009,10325,5007,2156,42213,105571,4866,3872,3039,21984,4556,5998,32228,1481,14305,5063,2946,3645,7865,5032,3079,11879,30774,7422,4718,8212,22902,27133,0,110,3928,2151,7840,4120,3683,4489,4621,1294,700,6383,53,13606,985,5259,6120,913,2070,620,2200
1587994503.524183,175.98,280.36,2432.27,1276.995,206.275,191.83,745.55,155.23,129.85,168.8,118.64,92.16,53.175,260.19,59.38,58.22,295.7,30.02,80.935,215.86,89.87,45.935,37.835,22.575,134.905,102.36,43.115,42.85,0.0,40.3,424.34,53.39,37.67,296.6,347.42,86.82,95.57,163.84,312.105,62.815,116.49,88.71,236.845,154.57,184.99,100.03,51.7,74.23,331.83,16091,11200,6249,2616,46476,113690,5206,4472,3039,24160,4556,6598,32766,1681,16676,6063,3806,4045,10848,6433,3685,13258,34989,8722,5318,9561,23802,30033,0,110,4152,2651,9540,4790,4083,8127,5021,1296,1200,7584,53,14921,1085,5963,6820,918,2470,1020,2200
1587994563.72912,175.955,280.39,2431.69,1277.105,205.98,191.84,750.96,155.44,129.78,168.81,118.48,92.32,53.215,261.225,59.26,58.21,295.985,30.04,81.155,216.275,89.84,46.01,37.845,22.605,134.92,102.32,42.96,42.83,0.0,40.15,423.205,53.34,37.74,296.42,347.41,86.66,95.445,163.84,312.06,62.86,116.49,88.775,235.6,154.505,185.49,100.075,51.695,74.24,330.765,20086,12531,6899,3886,49549,125077,5485,5274,3072,26819,5656,8413,39256,2101,18478,7884,4624,4348,20398,7669,3890,14766,42874,10430,6619,10711,24012,35659,0,294,4665,3151,11040,5091,4283,10701,5946,1296,1355,9809,53,15821,1185,7563,7420,968,2670,1222,2600
1587994623.93428,175.85,279.985,2429.9,1274.37,205.8,192.485,755.9,155.47,129.9,168.775,118.41,92.295,53.245,261.18,59.17,58.255,295.41,30.04,81.4,216.41,89.945,45.985,37.855,22.605,134.86,102.415,42.95,42.81,0.0,40.15,421.67,53.275,37.725,295.75,346.305,86.71,95.37,163.75,311.965,62.76,116.49,88.67,235.69,154.28,185.66,100.115,51.695,74.24,330.765,22795,38156,7549,4189,54162,136216,8194,5674,3172,27619,5856,9223,41041,2402,21878,8494,5024,4748,23392,8579,4610,15766,47074,15531,7619,15517,24112,38028,0,294,4815,3352,47640,6294,4383,12001,6478,2301,2155,11217,53,16833,1395,7863,8220,1110,2670,1222,2600
1587994684.140829,175.87,280.435,2431.99,1275.175,205.97,192.48,758.06,155.81,130.0,169.065,118.48,92.425,53.23,261.735,59.09,58.21,296.095,30.045,81.3,215.99,90.01,46.02,37.895,22.63,135.04,102.4,42.76,42.785,0.0,40.15,422.955,53.225,37.78,296.32,346.72,86.68,95.315,163.655,312.07,62.84,116.49,88.47,236.01,154.5,185.84,100.115,51.78,74.31,331.59,24019,40223,7675,7409,59011,151293,9470,6854,3472,28786,5956,10717,41341,3102,22960,9784,5993,4949,29325,9379,4866,17667,65990,18780,8019,18522,25287,38928,0,294,5537,3552,59929,6643,4583,15051,7078,2913,2455,12021,53,18618,1595,8363,9020,1110,2870,1895,2736
1587994744.397877,175.79,280.72,2433.76,1276.37,206.01,192.32,760.39,155.87,130.0,169.135,118.5,92.6,53.265,261.5,59.055,58.17,295.855,30.025,81.55,215.45,89.9,45.99,37.895,22.635,134.89,102.48,42.85,42.81,0.0,40.15,423.205,53.225,37.78,296.29,347.0,86.79,95.41,163.73,312.15,62.915,116.49,88.395,235.97,154.8,185.86,100.2,51.78,74.29,331.685,25219,40575,8485,8026,69411,157909,12425,7050,4447,34066,6056,10965,41941,3402,27561,11488,6493,5449,34027,10079,4966,18667,71090,22372,8519,33976,25987,39929,0,294,6037,3752,64539,7375,4763,15952,7643,3063,3255,12521,53,19325,1695,8663,11766,1510,2870,2096,2738
